TransactionID,CustomerID,CartStartTimestamp,TransactionTimestamp,TransactionDuration,ProductPurchased,Quantity,PaymentMethod,DeviceUsed,BrowserUsed,IPAddress,SuspiciousFlag,Abandoned,DeliveryStatus,ExpectedDeliveryDate,Discount,Region
TRANS_00356,CUST_052,11/21/2024,11/22/2024,461,PROD_0037,1,PayPal,Tablet,Safari,248.33.143.76,True,No,Delivered,11/26/2024,0,Africa
TRANS_00362,CUST_057,11/14/2024,11/15/2024,387,PROD_0035,1,Bank Transfer,Desktop,Chrome,19.42.251.101,True,No,Delivered,11/25/2024,0,North America
TRANS_00367,CUST_062,11/2/2024,11/3/2024,507,PROD_0039,3,Bank Transfer,Tablet,Safari,177.181.223.23,False,No,Delivered,12/4/2024,0.06,Asia Pacific
TRANS_00361,CUST_071,11/17/2024,11/18/2024,561,PROD_0031,1,Mobile Payment,Tablet,Edge,93.28.253.43,True,No,Pending,11/29/2024,0.19,North America
TRANS_00363,CUST_053,11/18/2024,11/19/2024,432,PROD_0039,4,Credit Card,Desktop,Safari,60.110.212.179,True,No,Pending,11/23/2024,0.02,Africa
TRANS_00374,CUST_088,11/20/2024,11/21/2024,354,PROD_0020,1,Bank Transfer,Desktop,Edge,119.221.227.186,False,No,Pending,12/5/2024,0.07,South America
TRANS_00348,CUST_100,11/13/2024,11/14/2024,556,PROD_0004,4,PayPal,Mobile,Safari,84.156.144.121,True,No,Delivered,11/17/2024,0.19,Oceania
TRANS_00373,CUST_060,11/7/2024,11/8/2024,497,PROD_0025,1,Credit Card,Desktop,Chrome,197.118.159.66,False,No,Delivered,12/1/2024,0.14,Asia Pacific
TRANS_00357,CUST_042,11/15/2024,11/16/2024,472,PROD_0025,1,Credit Card,Tablet,Chrome,174.61.77.89,False,No,Pending,11/20/2024,0,North America
TRANS_00372,CUST_023,11/9/2024,11/10/2024,538,PROD_0039,3,Bank Transfer,Mobile,Safari,108.226.126.248,True,No,Delayed,11/28/2024,0,Africa
TRANS_00347,CUST_044,11/8/2024,11/9/2024,417,PROD_0002,1,Bank Transfer,Tablet,Edge,102.229.215.51,True,No,Delivered,11/15/2024,0,Europe
TRANS_00354,CUST_028,11/25/2024,11/26/2024,527,PROD_0046,2,PayPal,Desktop,Edge,62.178.150.205,False,No,Delivered,11/30/2024,0.01,Asia Pacific
TRANS_00353,CUST_007,11/17/2024,11/18/2024,539,PROD_0043,1,Credit Card,Tablet,Edge,30.134.106.146,True,No,Delivered,11/27/2024,0.08,Africa
TRANS_00349,CUST_018,11/12/2024,11/13/2024,582,PROD_0010,1,Bank Transfer,Tablet,Chrome,71.189.81.99,True,No,Pending,12/3/2024,0.06,Asia Pacific
TRANS_00359,CUST_027,11/26/2024,11/27/2024,342,PROD_0049,3,Mobile Payment,Mobile,Safari,75.61.214.227,False,No,Pending,12/9/2024,0.09,Asia Pacific
TRANS_00360,CUST_083,11/18/2024,11/19/2024,418,PROD_0008,1,Mobile Payment,Tablet,Chrome,20.230.62.209,False,No,Delivered,12/13/2024,0,Oceania
TRANS_00350,CUST_032,10/31/2024,11/1/2024,410,PROD_0029,2,Mobile Payment,Tablet,Edge,184.202.138.112,True,No,Delayed,12/7/2024,0,Africa
TRANS_00371,CUST_077,11/20/2024,11/21/2024,559,PROD_0044,1,Bank Transfer,Mobile,Safari,98.176.199.81,False,No,Pending,11/23/2024,0.02,Africa
TRANS_00352,CUST_070,11/2/2024,11/3/2024,568,PROD_0037,1,Credit Card,Tablet,Firefox,14.83.37.27,False,No,Delivered,11/28/2024,0.08,Africa
TRANS_00365,CUST_088,11/27/2024,11/28/2024,327,PROD_0042,1,Mobile Payment,Desktop,Chrome,37.220.82.16,True,No,Pending,12/7/2024,0,Europe
TRANS_00364,CUST_053,11/8/2024,11/9/2024,468,PROD_0047,3,Mobile Payment,Mobile,Safari,30.126.80.250,True,No,Delivered,12/1/2024,0,South America
TRANS_00358,CUST_094,11/16/2024,11/17/2024,448,PROD_0023,3,Bank Transfer,Tablet,Edge,169.60.169.232,False,No,Delayed,11/30/2024,0.04,Africa
TRANS_00368,CUST_081,11/6/2024,11/7/2024,516,PROD_0026,1,Mobile Payment,Tablet,Safari,148.16.238.134,True,No,Pending,12/13/2024,0.08,South America
TRANS_00369,CUST_075,11/10/2024,11/11/2024,387,PROD_0049,2,Mobile Payment,Tablet,Firefox,45.128.251.92,True,No,Delayed,11/20/2024,0,Oceania
TRANS_00370,CUST_056,11/7/2024,11/8/2024,373,PROD_0024,2,Credit Card,Mobile,Firefox,79.245.216.115,True,No,Delivered,11/18/2024,0.02,North America
TRANS_00376,CUST_054,11/23/2024,11/24/2024,444,PROD_0033,3,Credit Card,Desktop,Edge,132.243.198.157,False,No,Delayed,11/30/2024,0.03,Asia Pacific
TRANS_00366,CUST_005,11/19/2024,11/20/2024,481,PROD_0042,1,PayPal,Tablet,Firefox,161.226.149.106,True,No,Delayed,11/25/2024,0,Asia Pacific
TRANS_00351,CUST_064,11/10/2024,11/11/2024,569,PROD_0015,1,Bank Transfer,Desktop,Safari,207.50.172.135,False,No,Pending,11/16/2024,0.03,Europe
TRANS_00375,CUST_065,11/17/2024,11/18/2024,364,PROD_0019,1,Bank Transfer,Mobile,Edge,175.18.119.68,True,No,Delayed,12/13/2024,0,North America
TRANS_00355,CUST_004,11/18/2024,11/19/2024,485,PROD_0047,3,PayPal,Desktop,Firefox,199.97.100.175,False,No,Pending,11/19/2024,0.06,Oceania
TRANS_00385,CUST_034,12/23/2024,12/24/2024,510,PROD_0045,1,Bank Transfer,Mobile,Firefox,122.69.253.192,True,No,Delivered,1/8/2025,0.08,North America
TRANS_00392,CUST_064,12/12/2024,12/13/2024,350,PROD_0015,1,PayPal,Desktop,Edge,61.119.238.113,False,No,Delayed,12/30/2024,0.05,Oceania
TRANS_00386,CUST_017,12/15/2024,12/16/2024,512,PROD_0033,3,Credit Card,Mobile,Firefox,69.170.228.219,False,No,Delivered,1/10/2025,0,Asia Pacific
TRANS_00389,CUST_055,12/19/2024,12/20/2024,373,PROD_0039,1,Mobile Payment,Mobile,Firefox,24.185.48.122,True,No,Delayed,12/21/2024,0,North America
TRANS_00394,CUST_094,12/22/2024,12/23/2024,459,PROD_0035,2,Credit Card,Desktop,Safari,119.32.44.250,False,No,Pending,1/4/2025,0.06,North America
TRANS_00397,CUST_028,12/7/2024,12/8/2024,506,PROD_0027,5,Credit Card,Mobile,Chrome,163.164.164.33,False,No,Delayed,1/2/2025,0.02,Asia Pacific
TRANS_00380,CUST_076,11/30/2024,12/1/2024,574,PROD_0007,1,Mobile Payment,Tablet,Safari,210.166.169.138,True,No,Delayed,1/6/2025,0.03,Asia Pacific
TRANS_00390,CUST_071,12/12/2024,12/13/2024,411,PROD_0003,3,Credit Card,Tablet,Safari,186.76.79.75,False,No,Pending,12/24/2024,0.06,Europe
TRANS_00402,CUST_053,12/6/2024,12/7/2024,420,PROD_0028,1,PayPal,Tablet,Safari,158.110.66.233,False,No,Delayed,1/1/2025,0.05,South America
TRANS_00379,CUST_004,12/5/2024,12/6/2024,306,PROD_0049,3,Bank Transfer,Mobile,Safari,100.130.66.78,False,No,Delivered,12/9/2024,0.01,North America
TRANS_00395,CUST_061,12/26/2024,12/27/2024,591,PROD_0013,1,Credit Card,Desktop,Firefox,152.14.42.54,False,No,Pending,1/12/2025,0.07,North America
TRANS_00393,CUST_020,12/23/2024,12/24/2024,318,PROD_0037,1,PayPal,Tablet,Firefox,188.92.20.143,False,No,Delivered,12/28/2024,0,Asia Pacific
TRANS_00400,CUST_072,12/7/2024,12/8/2024,503,PROD_0003,2,Mobile Payment,Desktop,Chrome,136.142.42.88,True,No,Delayed,1/5/2025,0.1,North America
TRANS_00403,CUST_044,12/24/2024,12/25/2024,358,PROD_0040,1,Bank Transfer,Mobile,Firefox,100.88.81.244,True,No,Delayed,12/28/2024,0.09,Africa
TRANS_00398,CUST_022,12/19/2024,12/20/2024,311,PROD_0031,2,PayPal,Mobile,Safari,104.160.130.98,False,No,Delayed,1/13/2025,0,Africa
TRANS_00377,CUST_029,12/24/2024,12/25/2024,553,PROD_0018,1,Credit Card,Mobile,Safari,228.29.27.123,False,No,Pending,12/29/2024,0.08,Oceania
TRANS_00383,CUST_021,12/14/2024,12/15/2024,315,PROD_0017,3,Bank Transfer,Desktop,Firefox,249.242.134.235,False,No,Delayed,12/28/2024,0.18,Africa
TRANS_00388,CUST_068,12/2/2024,12/3/2024,499,PROD_0043,2,Credit Card,Tablet,Edge,141.31.88.180,False,No,Pending,12/23/2024,0.05,North America
TRANS_00382,CUST_052,12/14/2024,12/15/2024,429,PROD_0006,1,Mobile Payment,Tablet,Safari,247.86.28.237,True,No,Delayed,12/26/2024,0.06,Europe
TRANS_00384,CUST_081,11/30/2024,12/1/2024,329,PROD_0015,1,Mobile Payment,Tablet,Firefox,100.145.89.32,True,No,Pending,1/3/2025,0,Africa
TRANS_00378,CUST_090,12/21/2024,12/22/2024,369,PROD_0027,4,PayPal,Desktop,Edge,228.20.182.61,True,No,Pending,12/28/2024,0.06,South America
TRANS_00399,CUST_069,12/15/2024,12/16/2024,487,PROD_0036,1,Mobile Payment,Mobile,Chrome,231.167.132.240,True,No,Pending,12/31/2024,0.09,Asia Pacific
TRANS_00387,CUST_023,12/24/2024,12/25/2024,579,PROD_0011,1,Bank Transfer,Mobile,Chrome,122.196.215.200,False,No,Delayed,12/26/2024,0,North America
TRANS_00391,CUST_030,12/21/2024,12/22/2024,498,PROD_0043,2,Mobile Payment,Tablet,Firefox,117.180.48.33,False,No,Delayed,12/27/2024,0.05,Africa
TRANS_00381,CUST_025,12/13/2024,12/14/2024,312,PROD_0041,1,Bank Transfer,Tablet,Edge,166.182.198.247,True,No,Delivered,1/10/2025,0,Africa
TRANS_00396,CUST_056,12/17/2024,12/18/2024,479,PROD_0017,1,PayPal,Desktop,Chrome,113.10.90.205,False,No,Pending,12/28/2024,0.04,Africa
TRANS_00401,CUST_074,12/19/2024,12/20/2024,560,PROD_0009,1,Bank Transfer,Desktop,Firefox,100.187.79.193,True,No,Delivered,12/23/2024,0.08,Asia Pacific
TRANS_00039,CUST_055,1/16/2025,1/17/2025,305,PROD_0045,1,PayPal,Desktop,Chrome,132.218.56.240,True,No,Pending,1/25/2025,0.15,Europe
TRANS_00266,CUST_085,1/3/2025,1/4/2025,211,PROD_0009,1,Bank Transfer,Mobile,Safari,117.158.169.85,False,No,Delivered,1/25/2025,0.15,Africa
TRANS_00241,CUST_001,1/16/2025,1/17/2025,550,PROD_0012,2,PayPal,Tablet,Edge,43.160.137.166,False,No,Delayed,1/25/2025,0.15,North America
TRANS_00017,CUST_010,1/18/2025,1/19/2025,403,PROD_0007,1,Mobile Payment,Desktop,Firefox,199.109.29.27,True,No,Pending,1/25/2025,0.15,Europe
TRANS_00015,CUST_084,1/9/2025,1/10/2025,471,PROD_0037,1,Credit Card,Desktop,Chrome,198.87.88.149,False,No,Pending,1/25/2025,0.15,Asia Pacific
TRANS_00201,CUST_052,1/22/2025,1/23/2025,358,PROD_0014,1,PayPal,Desktop,Firefox,173.148.175.250,True,No,Delayed,2/25/2025,0.15,South America
TRANS_00406,CUST_020,1/11/2025,1/12/2025,318,PROD_0013,1,Bank Transfer,Mobile,Edge,246.152.153.255,True,No,Pending,1/16/2025,0.15,Europe
TRANS_00078,CUST_027,1/8/2025,1/9/2025,152,PROD_0015,1,Mobile Payment,Tablet,Safari,201.210.48.86,False,No,Delayed,2/25/2025,0.15,North America
TRANS_00090,CUST_057,1/17/2025,1/18/2025,152,PROD_0039,1,Bank Transfer,Desktop,Edge,123.71.221.135,False,No,Delivered,1/25/2025,0.15,Asia Pacific
TRANS_00259,CUST_026,1/16/2025,1/17/2025,420,PROD_0013,1,PayPal,Mobile,Firefox,83.151.6.125,False,No,Pending,1/25/2025,0.15,Oceania
TRANS_00289,CUST_074,1/12/2025,1/13/2025,40,PROD_0048,1,Mobile Payment,Tablet,Edge,54.178.93.189,True,No,Delivered,1/25/2025,0.15,Africa
TRANS_00045,CUST_099,1/14/2025,1/15/2025,96,PROD_0029,2,Bank Transfer,Tablet,Edge,188.253.189.87,True,No,Pending,1/25/2025,0.15,South America
TRANS_00059,CUST_099,1/13/2025,1/14/2025,532,PROD_0021,1,Bank Transfer,Tablet,Chrome,77.184.14.221,True,No,Pending,1/25/2025,0.15,Africa
TRANS_00181,CUST_038,12/31/2024,1/1/2025,174,PROD_0041,1,Credit Card,Tablet,Edge,180.126.73.179,True,No,Delayed,1/25/2025,0.15,Asia Pacific
TRANS_00295,CUST_048,1/4/2025,1/5/2025,102,PROD_0040,1,Bank Transfer,Desktop,Edge,80.104.239.83,False,No,Delivered,1/25/2025,0.15,Asia Pacific
TRANS_00220,CUST_077,1/1/2025,1/2/2025,324,PROD_0026,1,Mobile Payment,Tablet,Firefox,15.100.177.42,True,No,Pending,2/25/2025,0.15,South America
TRANS_00137,CUST_003,1/9/2025,1/10/2025,413,PROD_0042,2,Mobile Payment,Mobile,Chrome,51.148.15.242,False,No,Delivered,1/25/2025,0.15,Asia Pacific
TRANS_00161,CUST_042,1/2/2025,1/3/2025,140,PROD_0041,1,PayPal,Desktop,Chrome,210.43.99.198,True,No,Delivered,1/25/2025,0.15,North America
TRANS_00011,CUST_060,1/11/2025,1/12/2025,426,PROD_0019,3,PayPal,Desktop,Edge,198.49.21.124,False,No,Pending,1/25/2025,0.15,Africa
TRANS_00095,CUST_096,1/21/2025,1/22/2025,426,PROD_0010,1,Mobile Payment,Desktop,Safari,198.52.19.172,True,No,Pending,1/25/2025,0.15,Africa
TRANS_00253,CUST_092,1/4/2025,1/5/2025,104,PROD_0037,1,Bank Transfer,Mobile,Firefox,215.64.55.75,False,No,Pending,1/25/2025,0.15,Oceania
TRANS_00276,CUST_029,1/6/2025,1/7/2025,462,PROD_0003,1,PayPal,Desktop,Chrome,85.180.3.221,False,No,Delayed,2/25/2025,0.15,Asia Pacific
TRANS_00077,CUST_085,1/19/2025,1/20/2025,396,PROD_0005,3,Bank Transfer,Desktop,Chrome,88.110.167.82,True,No,Delivered,1/25/2025,0.15,Europe
TRANS_00144,CUST_047,1/19/2025,1/20/2025,253,PROD_0048,1,Mobile Payment,Mobile,Edge,193.15.214.72,True,No,Pending,1/25/2025,0.15,North America
TRANS_00067,CUST_078,1/11/2025,1/12/2025,341,PROD_0023,1,Bank Transfer,Desktop,Chrome,94.32.63.175,False,No,Pending,1/25/2025,0.15,Asia Pacific
TRANS_00252,CUST_086,1/9/2025,1/10/2025,357,PROD_0044,1,Credit Card,Mobile,Edge,60.212.83.9,False,No,Pending,2/25/2025,0.15,Africa
TRANS_00062,CUST_040,1/9/2025,1/10/2025,435,PROD_0001,1,PayPal,Desktop,Safari,1.14.187.144,True,No,Delayed,2/25/2025,0.15,Oceania
TRANS_00152,CUST_011,1/10/2025,1/11/2025,549,PROD_0030,2,PayPal,Tablet,Chrome,118.240.100.209,True,No,Delivered,1/25/2025,0.15,Europe
TRANS_00299,CUST_095,1/19/2025,1/20/2025,530,PROD_0031,2,Mobile Payment,Desktop,Firefox,16.112.103.190,True,No,Delayed,1/25/2025,0.15,Oceania
TRANS_00262,CUST_066,1/19/2025,1/20/2025,327,PROD_0021,1,PayPal,Desktop,Edge,223.162.212.88,False,No,Delivered,1/25/2025,0.15,North America
TRANS_00408,CUST_033,1/5/2025,1/6/2025,413,PROD_0010,1,Mobile Payment,Desktop,Safari,137.236.113.185,True,No,Delayed,1/17/2025,0.15,Africa
TRANS_00282,CUST_043,12/31/2024,1/1/2025,455,PROD_0001,3,Bank Transfer,Desktop,Firefox,180.178.131.245,True,No,Delayed,1/25/2025,0.15,South America
TRANS_00096,CUST_095,1/14/2025,1/15/2025,447,PROD_0036,1,Bank Transfer,Mobile,Safari,190.70.129.47,False,No,Pending,1/25/2025,0.15,Africa
TRANS_00075,CUST_041,1/11/2025,1/12/2025,36,PROD_0019,2,Credit Card,Desktop,Edge,223.128.166.100,False,No,Delayed,1/25/2025,0.15,Oceania
TRANS_00025,CUST_089,1/3/2025,1/4/2025,282,PROD_0013,1,PayPal,Desktop,Safari,203.226.17.43,True,No,Delayed,1/25/2025,0.15,Asia Pacific
TRANS_00170,CUST_020,1/17/2025,1/18/2025,375,PROD_0028,1,Bank Transfer,Tablet,Safari,56.32.90.16,False,No,Pending,1/25/2025,0.15,Europe
TRANS_00106,CUST_049,1/22/2025,1/23/2025,470,PROD_0040,1,PayPal,Desktop,Safari,126.111.206.129,False,No,Delivered,1/25/2025,0.15,Asia Pacific
